observableId	observableFormula	noiseFormula	noiseDistribution	observableName
obs_p1	p1	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_1
obs_p2	p2	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_2
obs_p3	p3	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_3
obs_p4	p4	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_4
obs_p5	p5	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_5
obs_p6	p6	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_6
obs_p7	p7	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_7
obs_p8	p8	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_8
obs_p9	p9	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_9
obs_p10	p10	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_10
obs_p11	p11	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_11
obs_p12	p12	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_12
obs_p13	p13	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_13
obs_p14	p14	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_14
obs_p15	p15	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_15
obs_p16	p16	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_16
obs_p17	p17	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_17
obs_p18	p18	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_18
obs_p19	p19	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_19
obs_p20	p20	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_20
obs_p21	p21	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_21
obs_p22	p22	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_22
obs_p23	p23	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_23
obs_p24	p24	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_24
obs_p25	p25	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_25
obs_p26	p26	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_26
obs_p27	p27	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_27
obs_p28	p28	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_28
obs_p29	p29	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_29
obs_p30	p30	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_30
obs_p31	p31	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_31
obs_p32	p32	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_32
obs_p33	p33	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_33
obs_p34	p34	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_34
obs_p35	p35	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_35
obs_p36	p36	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_36
obs_p37	p37	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_37
obs_p38	p38	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_38
obs_p39	p39	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_39
obs_p40	p40	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_40
obs_p41	p41	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_41
obs_p42	p42	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_42
obs_p43	p43	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_43
obs_p44	p44	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_44
obs_p45	p45	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_45
obs_p46	p46	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_46
obs_p47	p47	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_47
obs_p48	p48	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_48
obs_p49	p49	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_49
obs_p50	p50	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_50
