observableId	simulationConditionId	time	measurement	noiseParameters	replicateId
obs_p2	cond0	0.0	0.7666455409839609	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	10.0	12.170380924430166	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	20.0	56.802899011006176	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	30.0	102.63903602463976	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	40.0	182.17017586182942	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	50.0	183.10003031358832	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	0.0	-0.016013446072734847	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	10.0	3.0191837783541584	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	20.0	5.494866185272172	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	30.0	5.022896235640761	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	40.0	6.294653365699655	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	50.0	6.53309121786643	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	0.0	-0.023883822302583596	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	10.0	6.524974000792863	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	20.0	20.88425313813978	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	30.0	27.837248696164842	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	40.0	48.09117162548421	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	50.0	47.25978884152106	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	0.0	0.5706662362897318	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	10.0	8.954580968816526	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	20.0	24.55973250768216	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	30.0	33.94915820548045	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	40.0	57.53647613987209	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	50.0	58.73928956090196	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	0.0	-0.18430800373468323	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	10.0	7.78120760799034	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	20.0	30.234701129249725	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	30.0	71.46893911315951	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	40.0	91.43402830603048	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	50.0	154.02487247526795	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	0.0	0.23532839892172763	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	10.0	0.9522609595373404	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	20.0	4.222799725519202	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	30.0	6.888311513952128	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	40.0	5.016645380524409	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	50.0	7.926292666699801	sigma_rel_medium;sigma_abs_medium	rep1
obs_p26	cond0	0.0	0.5307572500640494	sigma_rel_medium;sigma_abs_medium	rep1
obs_p26	cond0	10.0	1.9168214468111402	sigma_rel_medium;sigma_abs_medium	rep1
obs_p26	cond0	20.0	2.9677572246885577	sigma_rel_medium;sigma_abs_medium	rep1
obs_p26	cond0	30.0	7.1249786017123915	sigma_rel_medium;sigma_abs_medium	rep1
obs_p26	cond0	40.0	11.226126376297788	sigma_rel_medium;sigma_abs_medium	rep1
obs_p26	cond0	50.0	11.382603841598078	sigma_rel_medium;sigma_abs_medium	rep1
obs_p27	cond0	0.0	-0.7702486963577699	sigma_rel_medium;sigma_abs_medium	rep1
obs_p27	cond0	10.0	3.3032898876056143	sigma_rel_medium;sigma_abs_medium	rep1
obs_p27	cond0	20.0	21.485589204949346	sigma_rel_medium;sigma_abs_medium	rep1
obs_p27	cond0	30.0	26.56594253853115	sigma_rel_medium;sigma_abs_medium	rep1
obs_p27	cond0	40.0	45.841637241202775	sigma_rel_medium;sigma_abs_medium	rep1
obs_p27	cond0	50.0	66.90634285997317	sigma_rel_medium;sigma_abs_medium	rep1
obs_p28	cond0	0.0	0.07665070672832273	sigma_rel_medium;sigma_abs_medium	rep1
obs_p28	cond0	10.0	3.6912748477248343	sigma_rel_medium;sigma_abs_medium	rep1
obs_p28	cond0	20.0	12.308404109274568	sigma_rel_medium;sigma_abs_medium	rep1
obs_p28	cond0	30.0	29.486833270940796	sigma_rel_medium;sigma_abs_medium	rep1
obs_p28	cond0	40.0	44.17595111428503	sigma_rel_medium;sigma_abs_medium	rep1
obs_p28	cond0	50.0	60.17802051537835	sigma_rel_medium;sigma_abs_medium	rep1
obs_p31	cond0	0.0	-0.008296683275038595	sigma_rel_medium;sigma_abs_medium	rep1
obs_p31	cond0	10.0	5.61027272261641	sigma_rel_medium;sigma_abs_medium	rep1
obs_p31	cond0	20.0	17.019633981030037	sigma_rel_medium;sigma_abs_medium	rep1
obs_p31	cond0	30.0	35.76892571042049	sigma_rel_medium;sigma_abs_medium	rep1
obs_p31	cond0	40.0	71.22511654088643	sigma_rel_medium;sigma_abs_medium	rep1
obs_p31	cond0	50.0	102.16605485352129	sigma_rel_medium;sigma_abs_medium	rep1
obs_p33	cond0	0.0	-0.05339273551084258	sigma_rel_medium;sigma_abs_medium	rep1
obs_p33	cond0	10.0	38.243748986828955	sigma_rel_medium;sigma_abs_medium	rep1
obs_p33	cond0	20.0	54.32187603837728	sigma_rel_medium;sigma_abs_medium	rep1
obs_p33	cond0	30.0	64.81856413126587	sigma_rel_medium;sigma_abs_medium	rep1
obs_p33	cond0	40.0	87.8169600126471	sigma_rel_medium;sigma_abs_medium	rep1
obs_p33	cond0	50.0	83.09037867100426	sigma_rel_medium;sigma_abs_medium	rep1
obs_p34	cond0	0.0	-0.358088792441521	sigma_rel_medium;sigma_abs_medium	rep1
obs_p34	cond0	10.0	49.88077328911605	sigma_rel_medium;sigma_abs_medium	rep1
obs_p34	cond0	20.0	67.58060162354126	sigma_rel_medium;sigma_abs_medium	rep1
obs_p34	cond0	30.0	72.4660907181607	sigma_rel_medium;sigma_abs_medium	rep1
obs_p34	cond0	40.0	77.31285750979679	sigma_rel_medium;sigma_abs_medium	rep1
obs_p34	cond0	50.0	61.68172760292029	sigma_rel_medium;sigma_abs_medium	rep1
obs_p36	cond0	0.0	0.48670349802717694	sigma_rel_medium;sigma_abs_medium	rep1
obs_p36	cond0	10.0	10.61188732282674	sigma_rel_medium;sigma_abs_medium	rep1
